AJ Cunningham
JJ Aldrich
Jack Becker
Jack Della Maddalena
Jack Hermansson
Jack Jenkins
Jacob Malkoun
Jacobe Smith
Jacqueline Cavalcanti
Jafel Filho
Jai Herbert
Jailton Almeida
Jake Matthews
Jamahal Hill
Jamall Emmers
Jamey-Lyn Horth
Jamie Mullarkey
Jan Blachowicz
Jaqueline Amorim
Jared Cannonier
Jared Gordon
Jasmine Jasudavicius
Javid Basharat
Jean Matsumoto
Jean Silva
Jeka Saragih
JeongYeong Lee
Jeremiah Wells
Jeremy Stephens
Jessica Andrade
Jesus Aguilar
Jhonata Diniz
Jim Miller
Jimmy Crute
Jin Aoi
Jiri Prochazka
Joanderson Brito
Joaquim Silva
Joaquin Buckley
Joe Lauzon
Joe Pyfer
Joel Alvarez
John Castaneda
Johnny Walker
Jon Jones
Jonathan Martinez
Jonathan Micallef
Jonny Parsons
Joo Sang Yoo
Jordan Leavitt
Jordan Vucenic
Jose Aldo
Jose Daniel Medina
Jose Delgado
Jose Ochoa
Joselyne Edwards
Josh Emmett
Joshua Van
Josiane Nunes
Josias Musasa
Julia Polastri
Julian Erosa
Juliana Miller
Julianna Pena
Julija Stoliarenko
Julius Walker
JunYong Park
Junior Tafa
Justin Gaethje
Justin Tafa
Kaan Ofli
Kai Asakura
Kai Kara-France
Kai Yoshida
Kamaru Usman
Karine Silva
Karol Rosa
Karolina Kowalkiewicz
Katlyn Cerminara
Kaue Fernandes
Kayla Harrison
Keiichiro Nakamura
Kelvin Gastelum
Kennedy Nzechukwu
Ketlen Souza
Ketlen Vieira
Kevin Borjas
Kevin Christian
Kevin Holland
Kevin Vallejos
Khalil Rountree Jr.
Khamzat Chimaev
Khaos Williams
Kiefer Crosbie
King Green
Kiru Sahota
Kitt Campbell
Klaudia Sygula
Kody Steele
Kron Gracie
Kurt Holobaugh
Kuya Ito
Kyle Nelson
Kyle Prepolec
Kyler Phillips
Lando Vannata
Lauren Murphy
Lawrence Lui
Leon Edwards
Lerone Murphy
Li Jingliang
Loik Radzhabov
Loma Lookboonmee
Lone'er Kavanagh
Loopy Godinez
Luan Lacerda
Luana Carolina
Luana Pinheiro
Luana Santos
Lucas Almeida
Lucas Rocha
Ludovit Klein
Luis Gurule
Lukasz Brzeski
Lyman Good
Mackenzie Dern
Macy Chiasson
Magomed Ankalaev
Maheshate
Mairon Santos
Malcolm Wellmaker
Manel Kape
Manolo Zecchini
Manon Fiorot
Mansher Khera 
Mansur Abdul-Malik
Manuel Torres
MarQuel Mederos
Marc-Andre Barriault
Marcin Prachnio
Marcin Tybura
Marco Tulio
Marcus McGhee
Mario Bautista
Mario Pinto
Marlon Vera
Marnic Mann
Martin Buday
Marvin Vettori
Maryna Moroz
Mason Jones
Mateusz Gamrot
Mateusz Rebecki
Matheus Camilo
Matt Brown
Matt Frevola
Matt Schnell
Mauricio Ruffy
Max Griffin
Max Holloway
Maycee Barber
Mayra Bueno Silva
Melissa Gatto
Melissa Martinez
Melissa Mullins
Melquizael Costa
Melsik Baghdasaryan
Merab Dvalishvili
Michael Aswell
Michael Chandler
Michael Chiesa
Michael Johnson
Michael Morales
Michael Page
Michal Oleksiejczuk
Michel Pereira
Mick Parkin
Mickey Gall
Miesha Tate
Mike Davis
Mike Malott
Miles Johns
Miranda Maverick
Mitch Ramirez
Mitch Raposo
Mizuki
Modestas Bukauskas
Mohammad Yahya
Mohammed Usman
Montel Jackson
Montserrat Conejo Ruiz
Montserrat Rendon
Morgan Charriere
Movsar Evloev
Mridul Saikia
Muhammad Naimov
Muin Gafurov
Muslim Salikhov
Myktybek Orolbai
Namsrai Batbayar
Nasrat Haqparast
Nassourdine Imavov
Natalia Silva
Nate Landwehr
Nathan Fletcher
Nathaniel Wood
Navajo Stirling
Nazim Sadykhov
Neil Magny
Nghiem Van Y
Nick Diaz
Nick Klein
Nicolae Negumereanu
Nicolas Dalby
Nicolle Caliari
Nikita Krylov
Niko Price
Nikolas Motta
Nikolay Veretennikov
Nora Cornolle
Norma Dumont
Nursulton Ruziboev
Nurullo Aliev
Nyamjargal Tumendemberel
Oban Elliott
Ode Osbourne
Ottman Azaitar
Oumar Sy
Ozzy Diaz
Paddy Pimblett
Pat Sabatini
Patchy Mix
Patricio Freire
Paul Craig
Paulo Costa
Payton Talbott
Pedro Munhoz
Pete Rodriguez
Petr Yan
Phil Rowe
Piera Rodriguez
Polyana Viana
Preston Parsons
Priscila Cachoeira
Puja Tomar
Punahele Soriano
Quang Le
Quillan Salkilld
Rafa Garcia
Rafael Cerqueira
Rafael Dos Anjos
Rafael Estevam
Rafael Fiziev
Ramazan Temirov
Ramiz Brahimaj
Ramon Taveras
Randy Brown
Rani Yahya
Raoni Barcelos
Raquel Pennington
Raul Rosas Jr.
Ravena Oliveira
Rayanne dos Santos
Rei Tsuruya
Reinier de Ridder
Ren Yawei
Renato Moicano
Rhys McKee
Ricardo Ramos
Ricky Legere Jr.
Ricky Simon
Ricky Turcios
Rinat Fakhretdinov
Rinya Nakamura
Rio Tirto
Rizvan Kuniev
Rob Font
Robert Bryczek
Robert Valentin
Robert Whittaker
Roberto Romero
Rodolfo Bellato
Rodolfo Vieira
Rolando Bedoya
Roman Dolidze
Roman Kopylov
Ronaldo Rodriguez
Rongzhu
Rose Namajunas
Rui Imura
Ryan Hall
Ryan Loder
Ryan Spann
Said Nurmagomedov
Saimon Oliveira
Sam Hughes
Sam Patterson
Santiago Ponzinibbio
Sean Brady
Sean O'Malley
Sean Sharaf
Sean Strickland
Sean Woodson
Sebastian Szalay
Sedriques Dumas
Seok Hyun Ko
Seokhyeon Ko
Sergei Pavlovich
Serghei Spivac
Serhiy Sidey
SeungGuk Choi
Shamil Gaziev
Shara Magomedov
Shauna Bannon
Shavkat Rakhmonov
Shayilan Nuerdanbieke
Sheldon Westcott
Shi Ming
Shogo Sato 
Sodiq Yusuff
Song Kenan
Song Yadong
Stephanie Luciano
Stephen Thompson
Steve Erceg
Steve Garcia
Steven Koslow
Steven Nguyen
Stewart Nicoll
SuYoung You
Sulangrangbo
Sumudaerji
Tabatha Ricci
Tagir Ulanbekov
Tai Tuivasa
Tainara Lisboa
Talita Alencar
Tallison Teixeira
Tatiana Suarez
Tatsuro Taira
Tecia Pennington
Tereza Bleda
Terrance McKinney
Themba Gorimbo
Thiago Moises
Thomas Petersen
Ti Haitao
Tim Elliott
Tim Means
Timmy Cuamba
Tofiq Musayev
Tom Aspinall
Tom Nolan
Torrez Finney
Toshiomi Kazama
Tracy Cortez
Tresean Gore
Trevin Giles
Trevor Peek
Trey Ogden
Trey Waters
Tuco Tokkos
Umar Nurmagomedov
Uran Satybaldiev
Uros Medic
Vagner Rocha
Valentina Shevchenko
Valter Walker
Vanessa Demopoulos
Veronica Hardy
Viacheslav Borshchev
Vicente Luque
Victor Henry
Victor Martinez
Vince Morales
Vinicius Oliveira
Virna Jandiroba
Vitor Petrino
Viviane Araujo
Volkan Oezdemir
Waldo Cortes-Acosta
Wang Cong
Wataru Yamauchi
Wellington Turman
Westin Wilson
William Gomis
Xiao Long
Yadier DelValle
Yair Rodriguez
Yan Xiaonan
Yana Santos
Yanal Ashmouz
Yazmin Jauregui
Yizha
Youssef Zalal
Yuji Ephoevi-Ga
Yuneisy Duben
Yusaku Kinoshita
Zachary Reese
Zhang Mingyang
Zhang Qinghe 
Zhang Weili
